2026-04-19 12:31:30 - [INFO] - SOIL_S1 - Moisture: 50.48%, Temp: 20.98C | Status: OK
2026-04-19 12:31:30 - [INFO] - SOIL_S2 - Moisture: 44.81%, Temp: 18.32C | Status: OK
2026-04-19 12:31:30 - [ERROR] - WEATHER_W1 - Temp: 45.18C, Humidity: 69.97% | Status: HEAT_WARNING
2026-04-19 12:54:30 - [INFO] - SOIL_S1 - Moisture: 46.74%, Temp: 23.16C | Status: OK
2026-04-19 12:54:30 - [INFO] - SOIL_S2 - Moisture: 37.69%, Temp: 19.79C | Status: OK
2026-04-19 12:54:30 - [INFO] - WEATHER_W1 - Temp: 34.97C, Humidity: 50.31% | Status: OK
2026-04-19 12:54:30 - [INFO] - PUMP_P1 - Pump Status: IDLE | Feedback: SUCCESS
2026-04-19 13:17:30 - [INFO] - SOIL_S2 - Moisture: 40.51%, Temp: 18.57C | Status: OK
2026-04-19 13:17:30 - [ERROR] - WEATHER_W1 - Temp: 46.33C, Humidity: 56.37% | Status: HEAT_WARNING
2026-04-19 13:41:30 - [INFO] - SOIL_S2 - Moisture: 34.78%, Temp: 20.13C | Status: OK
2026-04-19 13:41:30 - [INFO] - WEATHER_W1 - Temp: 16.54C, Humidity: 40.9% | Status: OK
2026-04-19 13:41:30 - [INFO] - PUMP_P1 - Pump Status: ACTIVE | Feedback: SUCCESS
2026-04-19 14:07:30 - [INFO] - SOIL_S1 - Moisture: 44.95%, Temp: 21.97C | Status: OK
2026-04-19 14:07:30 - [INFO] - SOIL_S2 - Moisture: 48.76%, Temp: 22.34C | Status: OK
2026-04-19 14:07:30 - [INFO] - WEATHER_W1 - Temp: 31.0C, Humidity: 57.42% | Status: OK
2026-04-19 14:07:30 - [INFO] - PUMP_P1 - Pump Status: ACTIVE | Feedback: SUCCESS
2026-04-19 14:28:30 - [INFO] - SOIL_S1 - Moisture: 49.22%, Temp: 24.93C | Status: OK
2026-04-19 14:28:30 - [INFO] - SOIL_S2 - Moisture: 42.28%, Temp: 22.77C | Status: OK
2026-04-19 14:28:30 - [INFO] - WEATHER_W1 - Temp: 26.8C, Humidity: 54.51% | Status: OK
2026-04-19 14:28:30 - [INFO] - PUMP_P1 - Pump Status: ACTIVE | Feedback: SUCCESS
2026-04-19 14:37:30 - [INFO] - SOIL_S1 - Moisture: 51.78%, Temp: 21.12C | Status: OK
2026-04-19 14:37:30 - [INFO] - SOIL_S2 - Moisture: 48.98%, Temp: 22.57C | Status: OK
2026-04-19 14:37:30 - [INFO] - WEATHER_W1 - Temp: 31.06C, Humidity: 49.02% | Status: OK
2026-04-19 14:37:30 - [INFO] - PUMP_P1 - Pump Status: ACTIVE | Feedback: SUCCESS
2026-04-19 14:47:30 - [INFO] - SOIL_S1 - Moisture: 44.36%, Temp: 20.66C | Status: OK
2026-04-19 14:47:30 - [INFO] - WEATHER_W1 - Temp: 26.29C, Humidity: 59.77% | Status: OK
2026-04-19 14:54:30 - [INFO] - SOIL_S1 - Moisture: 42.61%, Temp: 21.81C | Status: OK
2026-04-19 14:54:30 - [INFO] - WEATHER_W1 - Temp: 22.02C, Humidity: 50.29% | Status: OK
2026-04-19 15:21:30 - [INFO] - SOIL_S1 - Moisture: 51.43%, Temp: 22.6C | Status: OK
2026-04-19 15:21:30 - [INFO] - SOIL_S2 - Moisture: 45.68%, Temp: 19.78C | Status: OK
2026-04-19 15:21:30 - [INFO] - WEATHER_W1 - Temp: 25.48C, Humidity: 49.04% | Status: OK
2026-04-19 15:44:30 - [WARNING] - SOIL_S1 - Moisture: 5.81%, Temp: 23.73C | Status: LOW_MOISTURE_CRITICAL
